Exact Match,FishStatNameID,Taxon Key,FishStatName,FishStatTaxaName,CommonName,Matching Name,Fixed,Notes,Group,Order,Species,Genus,Totalmt,Capture,Aquaculture,Trade,Canada
1,231,600230,Baird's slickhead,Baird's slickhead,Baird's slickhead,Baird's slickhead,,,,,,,27725,1,0,0,0
0,232,,Balao halfbeak,Balao halfbeak,Balao halfbeak,Balao halfbeak,-1,Maybe more specific for Hemiramphus balao,,,,,444,1,0,0,0
1,233,601510,Bali sardinella,Bali sardinella,Bali sardinella,Bali sardinella,,,,,,,3588374,1,0,0,0
1,234,600572,Ballan wrasse,Ballan wrasse,Ballan wrasse,Ballan wrasse,,,,,,,718,1,1,0,0
0,235,100039,"Balls, cakes, sausages, etc.prepared from minced fish","Balls, cakes, sausages, etc.prepared from minced fish",Marine fish,Marine fishes,1,,,,,,7022113,0,0,1,0
1,236,601059,Ballyhoo halfbeak,Ballyhoo halfbeak,Ballyhoo halfbeak,Ballyhoo halfbeak,,,,,,,53779,1,0,0,0
0,237,,Baltic prawn,Baltic prawn,Baltic prawn,Baltic prawn,-1,Palemon adspersus,,,,,134.06,1,1,0,0
1,238,690042,Banana prawn,Banana prawn,Banana prawn,Banana prawn,,,,,,,4031632.62,1,1,0,0
1,239,690675,Banded carpet shell,Banded carpet shell,Banded carpet shell,Banded carpet shell,,,,,,,3068,1,1,0,0
0,240,,Banded rudderfish,Banded rudderfish,Banded rudderfish,Banded rudderfish,-1,Seriola zonata,,,,,46,1,0,0,0
1,241,614242,Banded yellowfish,Banded yellowfish,Banded yellowfish,Banded yellowfish,,,,,,,628,1,0,0,0
1,242,601918,Bar jack,Bar jack,Bar jack,Bar jack,,,,,,,492,1,0,0,0
0,243,,Barbeled houndshark,Barbeled houndshark,Barbeled houndshark,Barbeled houndshark,-1,Leptocharias smithii,,,,,210,1,0,0,0
0,244,690043,Barnacle,Barnacle,Barnacle,Atlantic barnacle,1,,,,,,5669,1,0,0,0
1,245,400360,Barracudas nei,Barracudas,Barracudas,Barracudas,,,,,,,2863924,1,0,0,0
1,246,600346,Barramundi(=Giant seaperch),Barramundi(=Giant seaperch),Barramundi,Barramundi,,,,,,,2563341.99,1,1,0,0
1,247,600346,"Barramundi, fresh or chilled",Barramundi,Barramundi,Barramundi,,,,,,,775,0,0,1,0
1,248,600346,"Barramundi, frozen","Barramundi, frozen",Barramundi,Barramundi,,,,,,,83,0,0,1,0
1,249,600401,Barred grunt,Barred grunt,Barred grunt,Barred grunt,,,,,,,91590,1,0,0,0
1,250,603921,Barrelfish,Barrelfish,Barrelfish,Barrelfish,,,,,,,46,1,0,0,0
1,251,600950,Bartail flathead,Bartail flathead,Bartail flathead,Bartail flathead,,,,,,,136907,1,0,0,0
0,252,690651,Basket cockle,Basket cockle,Basket cockle,Nuttall cockle,1,,,,,,1346,1,0,0,0
1,253,606957,Basketwork eel,Basketwork eel,Basketwork eel,Basketwork eel,,,,,,,98,1,0,0,0
1,254,600090,Basking shark,Basking shark,Basking shark,Basking shark,,,,,,,255939,1,0,0,0
1,255,605003,Bastard grunt,Bastard grunt,Bastard grunt,Bastard grunt,,,,,,,1674,1,0,0,0
1,256,601351,Bastard halibut,Bastard halibut,Bastard halibut,Bastard halibut,,,,,,,1386055,1,1,0,0
1,257,601351,"Bastard halibut fillets, fresh or chilled",Bastard halibut fillets,Bastard halibut,Bastard halibut,,,,,,,436,0,0,1,0
1,258,601351,"Bastard halibut fillets, frozen",Bastard halibut ,Bastard halibut,Bastard halibut,,,,,,,7585,0,0,1,0
1,259,601351,"Bastard halibut, fresh or chilled",Bastard halibut,Bastard halibut,Bastard halibut,,,,,,,100,0,0,1,0
1,260,601351,"Bastard halibut, frozen","Bastard halibut, frozen",Bastard halibut,Bastard halibut,,,,,,,478978,0,0,1,0
1,261,601351,Bastard halibuts nei,Bastard halibuts,Bastard halibut,Bastard halibut,,,,,,,399788,1,1,0,0
1,262,500732,Batfishes,Batfishes,Batfishes,Batfishes,,,,,,,76841,1,0,0,0
0,263,508611,Bathyraja rays nei,Bathyraja rays,Bathyraja rays,Deepwater stingrays/skates,1,,,,,,20,1,0,0,0
1,264,690898,Batwing coral crab,Batwing coral crab,Batwing coral crab,Batwing coral crab,,,,,,,3,1,0,0,0
1,265,600505,Beaked redfish,Beaked redfish,Beaked redfish,Beaked redfish,,,,,,,1238113,1,0,0,0
1,266,690759,Bean solen,Bean solen,Bean solen,Bean solen,,,,,,,1377,1,0,0,0
1,267,690044,Bear paw clam,Bear paw clam,Bear paw clam,Bear paw clam,,,,,,,9.78,0,1,0,0
1,268,600486,Bearded brotula,Bearded brotula,Bearded brotula,Bearded brotula,,,,,,,39448,1,0,0,0
1,269,602067,Beluga,Beluga,Beluga,Beluga,,,,,,,63,1,0,0,0
1,270,600327,Benguela hake,Benguela hake,Benguela hake,Benguela hake,,,,,,,181655,1,0,0,0
1,271,613664,Bigeye croaker,Bigeye croaker,Bigeye croaker,Bigeye croaker,,,,,,,40135,1,0,0,0
1,272,607138,Bigeye grenadier,Bigeye grenadier,Bigeye grenadier,Bigeye grenadier,,,,,,,73,1,0,0,0
